comment,sentiment,category,rating
Wah mantap banget nih ditipu! Terima kasih seller 😊,negative,sarcasm,1
"Bagus sekali, barang rusak semua! Top markotop!",negative,sarcasm,1
Pelayanan terbaik! Nungguin 2 minggu cuma buat barang ga dateng 🙏,negative,sarcasm,1
Seneng banget barangnya cacat. Recommended seller!,negative,sarcasm,1
Keren nih seller! Kirim barang yang salah dengan percaya diri,negative,sarcasm,1
"Terima kasih ya udah ngecewain ekspektasi gw, top banget 👍",negative,sarcasm,1
"Alhamdulillah dapet barang KW super, berkah banget 🙏",negative,sarcasm,1
"Mantap jiwa! CS-nya jutek banget, sukses terus ya 😊",negative,sarcasm,1
"Wih packaging oke banget, bubble wrap 1 lapis doang buat barang fragile 👏",negative,sarcasm,1
Bahagia banget nunggu sebulan buat barang sebesar korek api,negative,sarcasm,1
"Seller super responsif! Dibales seminggu kemudian, the best deh",negative,sarcasm,1
"Kualitas premium banget nih, sekali pake langsung rusak 🔥",negative,sarcasm,1
"Terima kasih udah kirim warna yang beda, suka surprise soalnya",negative,sarcasm,1
"Foto produk keren banget, sayang barang aslinya beda total ya 😅",negative,sarcasm,1
"Seneng deh dapet bonus lecet di semua sisi, detail banget packingnya",negative,sarcasm,1
Luar biasa! Chat ga dibales tapi langsung kirim barang yang salah,negative,sarcasm,1
Recomended seller! Kalau mau dikecewain,negative,sarcasm,1
"Bagus banget deh, harga mahal tapi kualitas receh 👍",negative,sarcasm,1
"Pelayanan ramah sekali, komplain malah di-block 😊",negative,sarcasm,1
"Mantap sekali nih, deskripsi bilang original ternyata KW. Jujur banget",negative,sarcasm,1
"Seneng banget belanja disini, kapok deh 🙏",negative,sarcasm,1
Thanks ya min udah buang-buang waktu gw. Sukses selalu!,negative,sarcasm,1
Wah seller terpercaya nih! Bohongnya juga terpercaya,negative,sarcasm,1
"Keren banget deh ekspedisinya, barang sampai hancur berkeping-keping",negative,sarcasm,1
"Alhamdulillah rezeki anak sholeh, dapet barang reject 😇",negative,sarcasm,1
Barangnya bagus tapi pelayanan CS mengecewakan,neutral,mixed_sentiment,3
"Harga mahal tapi kualitas oke, worth it sih",positive,mixed_sentiment,5
"Pengiriman cepat, sayang produknya tidak sesuai ekspektasi",negative,mixed_sentiment,3
"Packaging rapi, tapi barang ada lecet dikit",neutral,mixed_sentiment,3
"Seller responsif banget, tapi barangnya standar aja",neutral,mixed_sentiment,2
Kualitas produk bagus cuma pengiriman lama banget,neutral,mixed_sentiment,3
Barang sesuai deskripsi tapi harganya kemahalan dikit,neutral,mixed_sentiment,3
Pelayanan oke tapi produknya mengecewakan,negative,mixed_sentiment,2
Murah meriah tapi ya kualitas seadanya,neutral,mixed_sentiment,3
Desain lucu banget cuma bahannya tipis,neutral,mixed_sentiment,2
"Fast respon seller, sayangnya barang ada cacat produksi",negative,mixed_sentiment,2
"Overall puas, cuma warna agak beda dari foto",positive,mixed_sentiment,5
Produk ori tapi packingnya kurang rapi,neutral,mixed_sentiment,3
"Harga affordable, kualitas lumayan lah untuk harga segitu",positive,mixed_sentiment,4
"Barang bagus banget, sayang size-nya kekecilan",neutral,mixed_sentiment,4
"Pengalaman belanja oke, tapi COD ga bisa pdhal ada opsinya",neutral,mixed_sentiment,3
"Produk recommended, cuma ongkirnya agak pricey",positive,mixed_sentiment,5
Seller ramah tapi proses packingnya lama,neutral,mixed_sentiment,3
"Barang ori sih tapi ya standar aja, nothing special",neutral,mixed_sentiment,3
Cepet nyampe tapi kok beda warna ya,negative,mixed_sentiment,1
Kualitas mantap cuma ga ada bubble wrap sama sekali,neutral,mixed_sentiment,4
"Harga ok, barang ok, cuma admin jutek",neutral,mixed_sentiment,3
Produk sesuai gambar tapi minus instruksi pemakaian,neutral,mixed_sentiment,3
"Packaging bagus, pengiriman cepat, tapi barangnya ada yg kurang",negative,mixed_sentiment,3
"Worth to buy sih, meski harus nunggu lama",positive,mixed_sentiment,4
"Barang sesuai ekspektasi, cuma garansi cuma sebulan",neutral,mixed_sentiment,4
"Overall memuaskan, ada sedikit kekurangan tapi masih acceptable",positive,mixed_sentiment,5
"Harga kompetitif, kualitas oke, tapi pilihan warnanya dikit",neutral,mixed_sentiment,3
Produk bagus cuma terlalu banyak plastik di packaging,positive,mixed_sentiment,5
"Seller jujur, tapi proses retur ribet banget",neutral,mixed_sentiment,3
"Bukan jelek kok, malah bagus!",positive,negation,5
Tidak mengecewakan sama sekali,positive,negation,4
Gak nyesel beli ini,positive,negation,4
Tidak bagus sama sekali,negative,negation,1
Gak recommended,negative,negation,3
Bukan yang terbaik sih tapi oke,neutral,negation,3
"Ga mengecewakan, sesuai harga",positive,negation,5
Tidak buruk untuk harga segini,positive,negation,4
"Bukan barang jelek, worth it",positive,negation,3
Ga worth it sama sekali,negative,negation,3
Tidak memuaskan,negative,negation,1
Bukan seller yang recommended,negative,negation,1
"Ga jelek sih, lumayan",positive,negation,4
Tidak terlalu bagus tapi juga ga jelek,neutral,negation,3
Ga seburuk yang gw kira,positive,negation,5
Bukan produk berkualitas,negative,negation,2
Tidak ada yang istimewa,neutral,negation,2
Ga kayak yang di foto,negative,negation,1
Tidak pernah kecewa belanja disini,positive,negation,4
Bukan pilihan yang salah,positive,negation,5
Ga ada yang spesial,neutral,negation,3
Tidak sesuai ekspektasi,negative,negation,3
Ga nyangka sebagus ini,positive,negation,3
Bukan kualitas premium tapi ok lah,neutral,negation,3
Tidak akan beli lagi,negative,negation,2
"Gak jelek gak bagus, biasa aja",neutral,ambiguous,2
Ya gitu deh,neutral,ambiguous,2
